word	count
shooting	2288
co	1598
https	1509
b	923
potus	410
backfiretrump	403
oklahoma	351
stop	271
today	263
bshooting	249
fatal	231
something	229
life	224
please	219
american	214
suffering	210
bloodshed	208
took	208
people	191
like	163
school	156
gun	149
shot	143
amp	137
police	137
one	133
youtube	127
mass	124
get	106
man	100
time	98
bi	95
would	83
video	83
guns	79
parkland	78
year	77
go	76
us	75
nhttps	75
nra	73
know	73
shoot	70
think	70
see	68
via	68
first	67
star	64
said	64
say	64
