word	count
said	203
shot	119
par	105
first	99
one	87
two	85
three	81
back	78
new	78
second	74
shooting	67
police	63
year	62
day	60
like	59
mr	59
please	56
lead	55
gun	55
woods	54
game	54
times	53
hole	52
york	52
would	51
reed	49
round	49
masters	48
left	48
birdie	47
made	47
still	46
also	46
years	46
get	46
time	46
friday	45
green	44
right	44
officers	44
bogey	43
last	42
could	42
spieth	41
four	41
thursday	40
mcilroy	39
people	39
going	37
points	37
